,scientific_name,local_names.common,local_names.indonesian,altitude_min,altitude_max,temperature_min,temperature_max,rainfall_min,rainfall_max,ph_min,ph_max,chalky,clay,loamy,peat,rocky,sandy,silt,volcanic
0,Acacia auriculiformis,Australian Wattle,Akasia Daun Lebar,0,1000,24,38,650,6000,4.3,9.0,0,1,1,0,0,1,0,0
1,Acacia crassicarpa,Nothern Wattle,Akasia,0,450,15,22,500,3500,3.3,6.5,0,1,0,0,0,1,0,0
2,Acacia glauca,Wild Dividi,Mlanding Sabrang,0,1200,10,38,200,500,3.0,6.5,0,0,0,0,0,1,0,0
3,Acacia leptocarpa,North Coast Wattle,,10,550,10,33,350,1750,4.0,6.5,0,0,0,0,0,1,0,0
4,Acacia leucophloea,White Barked Acacia,Pilang,0,800,6,49,400,1500,5.0,8.0,0,1,1,0,0,1,0,0
5,Acacia mangium,Brown Salwood,Tongke Hutan,0,800,18,28,1500,3000,3.8,6.5,0,1,1,0,0,0,0,0
6,Acrocarpus fraxinofolius,Mundani,Madang Pariek,0,1500,19,28,1500,2000,4.0,7.0,0,1,1,0,0,0,0,0
7,Adansonia digitata,Baobab,Kaki Gajah,0,1500,20,30,100,1500,0.0,6.5,0,0,1,0,0,1,0,0
8,Adenanthera pavonina,Saga,,300,400,12,36,3000,5000,5.5,7.5,0,0,1,0,0,0,0,0
9,Aegle marmelos,Bael,Maja,0,1200,-6,48,570,2000,5.0,8.0,0,0,1,0,0,0,0,0
10,Agathis philippinensis,Almaciga,Damar,150,2200,22,32,2500,5000,5.0,10.0,0,0,1,0,0,0,0,0
11,Ailanthus altissima,Tree of Heaven,Pohon Surga,0,2000,10,20,2500,5000,5.5,8.0,1,1,1,0,0,1,0,0
12,Ailanthus altissima,Siris,Sengon,0,1800,-1,43,1000,5000,5.5,8.0,0,0,1,0,0,0,0,0
13,Albizia lebbeck,Kokko,Terisi,0,1800,19,35,500,2500,5.5,8.5,0,0,1,0,0,1,0,0
14,Albizia procera,White Siris,Weru,0,1500,1,18,100,5000,5.5,7.5,0,1,1,0,0,1,0,0
15,Albizia saman,Saman,Trembesi,0,1300,20,35,600,3000,4.6,7.5,0,1,1,0,0,1,0,0
16,Aleurites moluccana,Tung,Kemiri,0,1200,18,28,650,4300,5.0,8.0,0,0,1,0,0,0,0,0
17,Altingia excelsa,Kratuk,Rasamala,500,1500,20,32,100,5000,4.5,6.0,0,0,1,0,0,0,0,0
18,Anacardium occidentale,Cashew Nut,Jambu Monyet,0,1000,17,38,500,3500,4.5,6.5,0,0,1,0,0,1,0,0
19,Annona muricata,Soursop,Sirsak,0,1200,25,30,1000,5000,5.5,6.5,0,1,1,0,0,1,0,0
20,Annona squamosa,Sugar Apple,Srikaya,0,2000,0,41,700,5000,5.5,8.0,0,0,1,0,0,1,0,0
21,Antocephalus cadamba,Kalempayan,Jabon Putih,300,800,20,27,1000,4000,5.5,7.5,0,0,1,0,0,0,0,0
22,Antiaris toxicaria,Upas,Ipuh,1350,1700,20,30,1200,2000,6.0,7.5,0,0,0,0,0,1,0,0
23,Antidesma bunius,Bignai,Buni,0,1200,18,35,1200,3000,6.0,7.5,0,0,1,0,0,0,0,0
24,Araucaria cunninghamii,Hoop Pine,Pien,0,1000,15,25,1900,4800,6.0,6.0,0,0,1,0,0,1,0,0
25,Areca catechu,Pinang,Pinang,0,1000,14,36,750,4500,6.0,7.5,0,0,1,0,0,0,0,0
26,Arenga pinnata,Sugar Palm,Aren,0,1400,20,30,1500,3000,5.0,7.5,0,0,1,0,0,1,0,0
27,Artocarpus altilis,Breadfruit,Sukun,0,1500,16,38,1500,4000,6.0,7.5,0,0,1,0,0,1,0,0
28,Artocarpus camansi,Breadnut,Kelur,0,1000,20,35,1500,3000,5.5,7.5,0,0,1,0,0,1,0,0
29,Artocarpus heterophyllus,Jackfruit,Nangka,0,1600,16,38,1000,2400,5.0,7.5,0,0,1,0,0,1,0,0
30,Artocarpus integer,Cempedak,Cempedak,0,1200,20,35,1500,3000,5.5,7.5,0,0,1,0,0,1,0,0
31,Aucomea klaineana,Angouma,Angouma,0,800,20,30,1500,3000,5.5,7.0,0,0,1,0,0,1,0,0
32,Averrhoa bilimbi,Bilimbi,Belimbing Wuluh,0,500,22,35,1500,2500,5.5,6.5,0,0,1,0,0,1,0,0
33,Averrhoa carambola,Star Fruit,Belimbing,0,1000,20,35,1800,2500,5.5,6.5,0,0,1,0,0,1,0,0
34,Azadirachta excelsa,Sentang,Sentang,0,800,20,35,1000,3000,5.0,7.5,0,0,1,0,0,1,0,0
35,Azadirachta indica,Neem,Mimba,0,1500,10,40,500,1200,5.0,8.0,0,0,1,0,0,1,0,0
36,Barringtonia racemosa,Powder-puff Tree,Putat,0,200,20,32,1500,5000,5.0,7.5,0,0,1,0,0,1,0,0
37,Bauhinia purpurea,Purple Orchid Tree,Kupu-kupu,0,1500,15,35,1000,2500,6.0,7.5,0,0,1,0,0,1,0,0
38,Bertholletia excelsa,Brazil Nut,Kacang Brazil,0,500,24,32,2000,3000,5.5,6.5,0,1,1,0,0,0,0,0
39,Bischofia javanica,Bishop Wood,Gadog,0,1800,15,35,1000,4000,5.0,7.5,0,0,1,0,0,1,0,0
40,Bixa orellana,Annatto,Kesumba,0,1500,20,35,1200,3000,5.5,7.0,0,0,1,0,0,1,0,0
41,Broussonetia papyrifera,Paper Mulberry,Pohon Kertas,0,2000,10,35,1000,2500,5.0,7.5,0,0,1,0,0,1,0,0
42,Bruguiera gymnorrhiza,Large-leafed Orange Mangrove,Tancang,0,10,20,30,1500,4000,6.0,8.0,0,1,0,0,0,0,1,0
43,Butea monosperma,Flame of the Forest,Palasa,0,1200,10,40,500,2000,5.5,7.5,0,0,1,0,0,1,0,0
44,Caesalpinia sappan,Sappanwood,Secang,0,1000,20,35,1000,2500,5.5,7.5,0,0,1,0,0,1,0,0
45,Cajanus cajan,Pigeon Pea,Kacang Gude,0,2000,18,38,600,1000,5.0,7.5,0,0,1,0,0,1,0,0
46,Calliandra calothyrsus,Calliandra,Kaliandra,0,2000,15,30,1000,3000,5.0,7.0,0,0,1,0,0,1,0,0
47,Calophyllum inophyllum,Alexandrian Laurel,Nyamplung,0,300,20,32,1000,4000,5.0,8.0,0,0,1,0,0,1,0,0
48,Cananga odorata,Ylang-Ylang,Kenanga,0,1000,20,30,1500,3000,5.5,7.5,0,0,1,0,0,1,0,0
49,Canarium indicum,Canarium Nut,Kenari,0,800,22,32,2000,4000,5.5,7.0,0,0,1,0,0,1,0,0
50,Canarium schweinfurthii,African Canarium,Kenari Afrika,0,1500,20,35,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
51,Carapa guianensis,Crabwood,Andiroba,0,800,22,32,1500,3500,5.0,6.5,0,0,1,0,0,0,1,0
